"filename", "language", "C#", "XML", "JSON", "YAML", "Markdown", "HTML", "C++", "CMake", "Swift", "Groovy", "Properties", "Dart", "Python", "comment", "blank", "total"
"d:\SIC-GP5\SIC_Backend\Migrations\20240915195355_DevicePin.Designer.cs", "C#", 383, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 139, 524
"d:\SIC-GP5\SIC_Backend\Migrations\20240915195355_DevicePin.cs", "C#", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 30
"d:\SIC-GP5\SIC_Backend\Migrations\20240917124839_SicImage.Designer.cs", "C#", 399, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 146, 547
"d:\SIC-GP5\SIC_Backend\Migrations\20240917124839_SicImage.cs", "C#", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 41
"d:\SIC-GP5\SIC_Backend\Migrations\ApplicationDbContextModelSnapshot.cs", "C#", 397, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 146, 544
"d:\SIC-GP5\SIC_Backend\Program.cs", "C#", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19, 96
"d:\SIC-GP5\SIC_Backend\Properties\launchSettings.json", "JSON", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 42
"d:\SIC-GP5\SIC_Backend\Repositories\DevicesRepository.cs", "C#", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17, 81
"d:\SIC-GP5\SIC_Backend\Repositories\FilesRepository.cs", "C#", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"d:\SIC-GP5\SIC_Backend\Repositories\IDevicesRepository.cs", "C#", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"d:\SIC-GP5\SIC_Backend\Repositories\IFilesRepository.cs", "C#", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\SIC-GP5\SIC_Backend\Repositories\IPlacesRepository.cs", "C#", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\SIC-GP5\SIC_Backend\Repositories\ISectionsRepository.cs", "C#", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"d:\SIC-GP5\SIC_Backend\Repositories\IUsersRepository.cs", "C#", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\SIC-GP5\SIC_Backend\Repositories\PlacesRepository.cs", "C#", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14, 67
"d:\SIC-GP5\SIC_Backend\Repositories\SectionsRepository.cs", "C#", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15, 74
"d:\SIC-GP5\SIC_Backend\Repositories\UsersRepository.cs", "C#", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 45
"d:\SIC-GP5\SIC_Backend\SIC_Backend.csproj", "XML", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"d:\SIC-GP5\SIC_Backend\Services\FilesService.cs", "C#", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 94
"d:\SIC-GP5\SIC_Backend\Services\IFilesService.cs", "C#", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\SIC-GP5\SIC_Backend\Services\TokenService.cs", "C#", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 61
"d:\SIC-GP5\SIC_Backend\appsettings.Development.json", "JSON", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"d:\SIC-GP5\SIC_Backend\appsettings.json", "JSON", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 18
